,Id_DRS,DRS,ID_GVE,GVE,ID_RdS,RdS,Id_Município,Município,data,notificados,confirm_autoc,confirm_import
0,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/1/2022,23,9,0
1,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/2/2022,21,7,0
2,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/3/2022,166,128,0
3,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/4/2022,576,429,1
4,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/5/2022,731,468,0
5,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/6/2022,205,95,0
6,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/7/2022,96,40,0
7,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/8/2022,39,21,0
8,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/9/2022,18,11,0
9,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/10/2022,29,12,0
10,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/11/2022,62,39,0
11,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA ,350010,damantina,1/12/2022,175,98,0
12,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/1/2022,102,49,0
13,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/2/2022,37,28,0
14,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/3/2022,68,48,0
15,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/4/2022,52,34,0
16,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/5/2022,23,14,0
17,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/6/2022,7,2,0
18,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/7/2022,2,0,0
19,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/8/2022,2,0,0
20,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/9/2022,0,0,0
21,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/10/2022,0,0,0
22,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/11/2022,1,0,0
23,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020,dolfo,1/12/2022,3,1,0
24,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/1/2022,9,2,0
25,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/2/2022,3,1,0
26,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/3/2022,5,1,0
27,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/4/2022,7,0,1
28,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/5/2022,8,1,0
29,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/6/2022,1,0,0
30,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/7/2022,2,0,0
31,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/8/2022,0,0,0
32,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/9/2022,3,0,0
33,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/10/2022,2,0,0
34,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/11/2022,1,0,0
35,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030,guaí,1/12/2022,3,0,0
36,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/1/2022,0,0,0
37,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/2/2022,0,0,0
38,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/3/2022,3,0,0
39,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/4/2022,1,0,0
40,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/5/2022,2,0,0
41,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/6/2022,4,0,0
42,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/7/2022,1,0,0
43,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/8/2022,0,0,0
44,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/9/2022,0,0,0
45,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/10/2022,0,0,0
46,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/11/2022,0,0,0
47,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040,guas da Prata,1/12/2022,0,0,0
48,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/1/2022,1,0,0
49,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/2/2022,0,0,0
50,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/3/2022,1,0,1
51,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/4/2022,26,2,4
52,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/5/2022,54,9,3
53,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/6/2022,9,0,3
54,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/7/2022,0,0,0
55,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/8/2022,0,0,0
56,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/9/2022,3,0,0
57,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/10/2022,2,0,0
58,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/11/2022,1,0,0
59,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050,guas de Lindóia,1/12/2022,4,0,0
60,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,350055,guas de Santa Bárbara,1/1/2022,1,0,0
